FID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
0,48,TEXAS,TX,Archer,48009,"Archer County, Texas",903.1140684,8750,0,4144,48,3331,142,704,191,148,45,29086,1916,604,78,1557,28,1952,6,1285,140,129,44.4,999,18,124,80,11,21.6,372,78,74,35.8,109,49,78,55,8.1,2.2,3.3,1,29086,1916,9.9,1.3,17.8,0.3,22.3,0.1,14.8,1.6,3.9,1.3,11.4,0.2,1.5,1,0.3,0.5,9,1.9,2.2,1.1,3.3,1.5,0.9,0.6,0.0553,0.083,0.1304,0.0474,0.3162,0.0198,0.6245,0.2727,0.4032,0.0316,1.332,0.087,0.0119,0.1502,0.1621,0.0593,0.1067,0.2134,0.1818,0.1976,0.1779,0.8775,0.0198,2.6877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,171,12.5,2,6846
1,48,TEXAS,TX,Armstrong,48011,"Armstrong County, Texas",909.1086939,1913,102,928,27,702,54,177,74,15,17,28542,2588,139,58,419,44,433,65,288,69,30,21.4,312,139.4,5,49.4,6,14.3,126,41,8,15.8,10,9,68,59,9.6,4,1.6,1.8,28542,2588,10.2,4.1,21.9,2.5,22.6,3.2,15.6,3.6,4.3,3,16.3,7.2,0.3,2.7,0.6,1.5,13.6,4.4,1.1,2.3,1.4,1.3,3.6,3.1,0.087,0.0237,0.1542,0.0553,0.3202,0.0237,0.83,0.2964,0.4704,0.0474,1.6443,0.2016,0.0711,0.0277,0.0988,0.0356,0.2372,0.415,0.0632,0.0316,0.6917,1.4387,0.0909,3.502,0.0237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,73,6.8,4,1476
2,48,TEXAS,TX,Austin,48015,"Austin County, Texas",646.4913645,29107,0,13005,61,11222,275,4163,900,823,231,28351,1666,3457,427,5181,52,7125,45,3939,370,948,245.2,10534,30,1136,300.9,190,107.7,2190,293,472,165.1,445,156,271,130,14.5,3.1,5.8,1.6,28351,1666,17.6,2.2,17.8,0.2,24.5,0.2,13.7,1.3,8.4,2.2,36.2,0.1,4.2,1.1,1.5,0.8,16.8,2.2,4.2,1.5,4,1.4,0.9,0.4,0.3162,0.4506,0.17,0.4111,1.3478,0.253,0.6245,0.5415,0.2925,0.4427,1.9012,0.4229,0.4269,0.5494,0.9763,0.4783,0.4387,0.5929,0.6364,0.2925,0.2055,2.166,0.2885,6.3913,0.2885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4749,666,16.5,2.3,29946
3,48,TEXAS,TX,Bell,48027,"Bell County, Texas",1051.025223,330859,0,133682,462,113027,1237,47165,2709,12451,967,24213,548,19255,1083,32594,55,92350,0,43874,1688,13627,867.5,171756,95,7088,827.9,11575,792.6,8510,582,3434,461.1,6389,557,9508,1307,14.7,0.8,8.7,0.7,24213,548,9.7,0.5,9.9,0.1,27.9,0,14.2,0.5,12.1,0.8,51.9,0,2.4,0.3,8.7,0.6,6.4,0.4,3,0.4,5.7,0.5,2.9,0.4,0.332,0.8182,0.4506,0.0435,1.6443,0.3399,0.0514,0.834,0.3439,0.8854,2.1146,0.6087,0.7036,0.2806,0.9842,0.4901,0.8814,0.1225,0.3992,0.5929,0.6443,2.6403,0.5415,7.3834,0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40152,2152,13,0.7,330197
4,48,TEXAS,TX,Blanco,48031,"Blanco County, Texas",709.249467,10918,0,5657,50,4174,242,1045,282,312,151,30982,3194,818,209,2350,63,2088,46,1783,259,209,82.1,2403,4,274,149.7,53,45.3,908,186,118,58.1,111,57,119,108,9.7,2.6,6.1,2.8,30982,3194,10.1,2.6,21.5,0.6,19.1,0.4,16.5,2.4,5,1.9,22,0,2.6,1.4,0.9,0.8,16.1,3.3,2.8,1.4,2.7,1.3,1.1,1,0.0909,0.5296,0.083,0.0514,0.7549,0.087,0.8103,0.0632,0.5375,0.0751,1.4862,0.1304,0.1621,0.3162,0.4783,0.2095,0.3004,0.5534,0.3478,0.0949,0.2609,1.5573,0.1067,4.2767,0.0514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1958,380,18.1,3.5,8823
5,48,TEXAS,TX,Bosque,48035,"Bosque County, Texas",982.9787648,17953,0,9661,107,7098,225,2599,351,497,112,24815,1822,2265,214,4206,47,3928,30,3077,329,514,113.4,3714,3,517,134.7,49,34.7,1586,152,251,68.5,243,78,372,122,14.8,2,6.4,1.4,24815,1822,17.7,1.7,23.4,0.3,21.9,0.2,17.5,1.8,7.2,1.6,20.7,0,3,0.8,0.5,0.4,16.4,1.6,3.5,1,3.4,1.1,2.1,0.7,0.3478,0.581,0.4032,0.4229,1.7549,0.3992,0.8735,0.249,0.6324,0.2767,2.0316,0.5336,0.1383,0.3953,0.5336,0.2372,0.1818,0.5692,0.502,0.2095,0.5692,2.0316,0.2332,6.3518,0.2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3634,343,20.7,2,13950
6,48,TEXAS,TX,Bowie,48037,"Bowie County, Texas",885.0051472,93483,0,39192,198,33586,708,17166,1473,3199,437,23705,1139,7877,605,14403,119,22309,0,12920,632,3944,473.9,32869,30,1192,328.1,2650,464.2,5527,497,927,225.4,2371,322,5401,487,19.5,1.7,8.1,1.1,23705,1139,12.5,1,15.4,0.1,23.9,0,14.7,0.7,11.7,1.4,35.2,0,1.4,0.4,6.8,1.2,14.1,1.3,2.8,0.7,7.1,0.9,5.8,0.5,0.7312,0.7787,0.4901,0.1265,2.1265,0.5455,0.4466,0.4348,0.3874,0.8617,2.1304,0.6166,0.4071,0.1383,0.5455,0.249,0.8458,0.4387,0.336,0.7905,0.7866,3.1976,0.8617,8,0.6087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14657,1084,16.6,1.2,105095
7,48,TEXAS,TX,Brewster,48043,"Brewster County, Texas",6183.75944,9188,0,5430,31,4014,220,1023,248,328,110,26156,2401,892,152,1746,18,1884,22,1993,266,270,87.8,4399,14,284,119,327,139.8,879,159,144,79.1,206,93,108,54,11.2,2.7,7,2.3,26156,2401,13.6,2.3,19,0.2,20.5,0.2,21.9,2.9,6.7,2.2,47.9,0.2,3.3,1.4,6,2.6,16.2,2.9,3.6,2,5.1,2.3,1.2,0.6,0.1621,0.6877,0.2846,0.1779,1.3123,0.2332,0.6798,0.1581,0.8854,0.2332,1.9565,0.4545,0.6522,0.4269,1.0791,0.5375,0.8419,0.5573,0.5178,0.4822,0.3043,2.7036,0.585,7.0514,0.4269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654,312,18.2,3.4,11194
8,48,TEXAS,TX,Briscoe,48045,"Briscoe County, Texas",900.0003203,1672,114,1011,53,698,52,239,67,47,26,22906,2373,259,58,364,52,375,65,168,50,40,23.7,623,163.4,150,74.5,7,7.8,95,35,14,19.8,30,17,0,13,14.5,4,5.9,3.2,22906,2373,22.5,4.7,21.8,3.4,22.4,3.6,10,3.2,5.7,3.4,37.3,9.4,9.4,4.6,0.7,0.8,9.4,3.4,2,2.8,4.3,2.5,0,0.8,0.3162,0.4625,0.5692,0.6798,2.0277,0.498,0.8221,0.2767,0.0791,0.1383,1.3162,0.0791,0.4506,0.8498,1.3004,0.6522,0.253,0.2253,0.1502,0.3241,0,0.9526,0.0237,5.5968,0.1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,78,21.4,4.5,1355
9,48,TEXAS,TX,Brown,48049,"Brown County, Texas",944.437086,37935,0,18474,126,13361,412,6390,839,647,157,22090,1106,3812,406,7217,71,8723,43,5189,392,961,210.1,10193,31,597,218.6,680,183.8,3699,334,189,72.9,802,155,1816,331,17.7,2.3,4.1,1,22090,1106,14.9,1.6,19,0.2,23,0.1,14.1,1.1,7.2,1.6,26.9,0.1,1.7,0.6,3.7,1,20,1.8,1.4,0.5,6,1.1,4.8,0.9,0.6166,0.166,0.6522,0.2292,1.664,0.3439,0.6798,0.3281,0.332,0.2688,1.6087,0.1897,0.2727,0.166,0.4387,0.1976,0.7115,0.7352,0.0988,0.6482,0.7549,2.9486,0.7391,6.6601,0.3399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5434,528,14.7,1.4,40959
