"","cnty","state.x","svi_score","state.y","lmi_pcnt_pv_potential","lmi_pcnt_bldgs"
"1","Anderson","TX",0.585,"TX",43.49,42.04
"2","Andrews","TX",0.415,"TX",33.9,32.87
"3","Angelina","TX",0.9051,"TX",40.64,38.72
"4","Aransas","TX",0.3953,"TX",44.6,43.83
"5","Archer","TX",0,"TX",33.45,31.92
"6","Armstrong","TX",0.0237,"TX",32.08,32.08
"7","Atascosa","TX",0.6719,"TX",36.68,35.39
"8","Austin","TX",0.2885,"TX",42.14,40.42
"9","Bailey","TX",0.8617,"TX",48.37,46.72
"10","Bandera","TX",0.0988,"TX",37.72,37.44
"11","Bastrop","TX",0.6047,"TX",48.72,46.98
"12","Baylor","TX",0.0119,"TX",51.1,48.99
"13","Bee","TX",0.8893,"TX",43.18,41.07
"14","Bell","TX",0.502,"TX",40.39,35.81
"15","Bexar","TX",0.6957,"TX",38.85,37.07
"16","Blanco","TX",0.0514,"TX",44.09,42.09
"17","Borden","TX",0.0079,"TX",26.33,25.95
"18","Bosque","TX",0.2688,"TX",41.53,40.71
"19","Bowie","TX",0.6087,"TX",44.44,40.24
"20","Brazoria","TX",0.2213,"TX",39.75,36.73
"21","Brazos","TX",0.4348,"TX",50.88,40.24
"22","Brewster","TX",0.4269,"TX",47.61,45.83
"23","Briscoe","TX",0.1542,"TX",44.97,44.86
"24","Brooks","TX",0.996,"TX",65.27,64
"25","Brown","TX",0.3399,"TX",43.62,41.21
"26","Burleson","TX",0.4229,"TX",39.87,38.02
"27","Burnet","TX",0.1937,"TX",41.44,38.3
"28","Caldwell","TX",0.8103,"TX",56.12,52.19
"29","Calhoun","TX",0.7787,"TX",38.4,36.67
"30","Callahan","TX",0.1067,"TX",47.74,47.09
"31","Cameron","TX",0.9526,"TX",55.08,51.52
"32","Camp","TX",0.7628,"TX",48.11,44.78
"33","Carson","TX",0.0277,"TX",32.38,31.69
"34","Cass","TX",0.5138,"TX",47.78,44.27
"35","Castro","TX",0.6601,"TX",45.03,43.35
"36","Chambers","TX",0.1146,"TX",34.75,34.59
"37","Cherokee","TX",0.8775,"TX",46.4,44.58
"38","Childress","TX",0.5929,"TX",53.23,52.21
"39","Clay","TX",0.087,"TX",39.96,39.43
"40","Cochran","TX",0.9091,"TX",45.68,45.13
"41","Coke","TX",0.2016,"TX",48.78,47.44
"42","Coleman","TX",0.1462,"TX",51.48,48.19
"43","Collin","TX",0.0395,"TX",26.32,22.89
"44","Collingsworth","TX",0.6996,"TX",44.39,43.87
"45","Colorado","TX",0.3597,"TX",41.31,40.76
"46","Comal","TX",0.0672,"TX",31.11,28.97
"47","Comanche","TX",0.7036,"TX",44.37,44.02
"48","Concho","TX",0.3083,"TX",43.61,43.09
"49","Cooke","TX",0.2451,"TX",40.09,37.79
"50","Coryell","TX",0.3874,"TX",41.76,38.33
