FID,res_bldg_cnt,res_gwh,lmi_bldg_cnt,lmi_gwh,lmi_pct_gwh,lmi_pct_bldg,name,state_abbr,gid
pv_rooftop_county_lmi_pct_gwh.3116,15544.0004,183.7207,5814.7712,75.2714,40.97,37.41,Waupaca,WI,3116
pv_rooftop_county_lmi_pct_gwh.563,686.9999,7.7708,307.6332,3.5782,46.05,44.78,Butte,ID,563
pv_rooftop_county_lmi_pct_gwh.2894,9700.0002,124.0265,3489.3298,48.6974,39.26,35.97,Pulaski,VA,2894
pv_rooftop_county_lmi_pct_gwh.2896,2080.0003,23.7198,1021.6873,11.8662,50.03,49.12,Richmond,VA,2896
pv_rooftop_county_lmi_pct_gwh.1813,10974.9997,171.67,6081.1607,96.8593,56.42,55.41,McKinley,NM,1813
pv_rooftop_county_lmi_pct_gwh.1819,33964.0019,515.4899,11610.4723,180.0877,34.94,34.18,Sandoval,NM,1819
pv_rooftop_county_lmi_pct_gwh.1824,2647.9996,41.0235,1186.3643,18.9043,46.08,44.8,Socorro,NM,1824
pv_rooftop_county_lmi_pct_gwh.539,374,4.7435,178.1186,2.3193,48.89,47.63,Webster,GA,539
pv_rooftop_county_lmi_pct_gwh.2935,5738,99.1825,2021.4436,37.345,37.65,35.23,Manassas,VA,2935
pv_rooftop_county_lmi_pct_gwh.3089,11853.0002,153.9955,4658.0514,66.4117,43.13,39.3,Monroe,WI,3089
pv_rooftop_county_lmi_pct_gwh.2421,474,4.8005,160.2321,1.6062,33.46,33.8,Sully,SD,2421
pv_rooftop_county_lmi_pct_gwh.164,2391.9999,27.439,1159.4728,13.6486,49.74,48.47,Perry,AR,164
pv_rooftop_county_lmi_pct_gwh.3092,46076.0008,626.2154,16590.1226,264.3904,42.22,36.01,Outagamie,WI,3092
pv_rooftop_county_lmi_pct_gwh.2955,5638.0015,73.464,2392.9429,33.722,45.9,42.44,Asotin,WA,2955
pv_rooftop_county_lmi_pct_gwh.262,492.0003,6.4724,282.5965,3.7283,57.6,57.44,Dolores,CO,262
pv_rooftop_county_lmi_pct_gwh.517,1473,17.9688,693.8138,8.8178,49.07,47.1,Talbot,GA,517
pv_rooftop_county_lmi_pct_gwh.463,36140.9996,509.6161,13638.0625,214.9306,42.18,37.74,Houston,GA,463
pv_rooftop_county_lmi_pct_gwh.613,3266.0002,38.5086,1334.6035,16.8611,43.79,40.86,Cumberland,IL,613
pv_rooftop_county_lmi_pct_gwh.1224,64935.9983,835.2827,28565.3518,427.9725,51.24,43.99,Hampden,MA,1224
pv_rooftop_county_lmi_pct_gwh.1282,7576.9981,82.4473,3079.5615,34.6655,42.05,40.64,Manistee,MI,1282
